COMPOUND_ID	REFERENCE_ID	COMPOUND_NAME	COMPOUND_KEY	SRC_ID [OPTIONAL]	COMPOUND_SOURCE [OPTIONAL]
17	1	"ethyl 2,5-dimethyl-1-phenyl-1H-pyrrole-3-carboxylate"	OSM-S-31		"Todd Group, Sydney"
18	1	"ethyl 2,5-dimethyl-1-(4-(trifluoromethyl)phenyl)-1H-pyrrole-3-carboxylate"	OSM-S-32		"Todd Group, Sydney"
19	1	"(2Z,5Z)-5-((2,5-dimethyl-1-phenyl-1H-pyrrol-3-yl)methylene)-2-(phenylimino)thiazolidin-4-one"	OSM-S-35		"Todd Group, Sydney"
20	1	"(2Z,5Z)-5-((2,5-dimethyl-1-(p-tolyl)-1H-pyrrol-3-yl)methylene)-2-(phenylimino)thiazolidin-4-one"	OSM-S-37		"Todd Group, Sydney"
21	1	"(2Z,5Z)-5-((2,5-dimethyl-1-(4-(trifluoromethyl)phenyl)-1H-pyrrol-3-yl)methylene)-2-(phenylimino)thiazolidin-4-one"	OSM-S-38		"Todd Group, Sydney"
22	1	"(2Z,5Z)-5-((1-(3,5-bis(trifluoromethyl)phenyl)-2,5-dimethyl-1H-pyrrol-3-yl)methylene)-2-(phenylimino)thiazolidin-4-one"	OSM-S-39		"Todd Group, Sydney"
23	1	"2-((2Z,5Z)-5-((2,5-dimethyl-1-(4-(trifluoromethyl)phenyl)-1H-pyrrol-3-yl)methylene)-4-oxo-2-(phenylimino)thiazolidin-3-yl)acetonitrile"	OSM-S-42		"Todd Group, Sydney"
24	1	"(Z)-2-((5-((2,5-dimethyl-1-(4-(trifluoromethyl)phenyl)-1H-pyrrol-3-yl)methylene)-4-oxo-4,5-dihydrothiazol-2-yl)(phenyl)amino)acetonitrile"	OSM-S-43		"Todd Group, Sydney"
25	1	"(Z)-N-(5-((2,5-dimethyl-1-(4-(trifluoromethyl)phenyl)-1H-pyrrol-3-yl)methylene)-4-oxo-4,5-dihydrothiazol-2-yl)-N-phenylacetamide"	OSM-S-45		"Todd Group, Sydney"
26	1	"ethyl 4-(2,5-dimethyl-3-((Z)-((Z)-4-oxo-2-(phenylimino)thiazolidin-5-ylidene)methyl)-1H-pyrrol-1-yl)benzoate"	OSM-S-48		"Todd Group, Sydney"
27	1	"(Z)-N-(5-((2,5-dimethyl-1-phenyl-1H-pyrrol-3-yl)methylene)-4-oxo-4,5-dihydrothiazol-2-yl)-N-phenylacetamide"	OSM-S-49		"Todd Group, Sydney"
28	1	"(Z)-N-(5-((2,5-dimethyl-1-(p-tolyl)-1H-pyrrol-3-yl)methylene)-4-oxo-4,5-dihydrothiazol-2-yl)-N-phenylacetamide"	OSM-S-50		"Todd Group, Sydney"
29	1	"(2Z,5Z)-5-((2,5-dimethyl-1-(pyridin-2-yl)-1H-pyrrol-3-yl)methylene)-2-(phenylimino)thiazolidin-4-one"	OSM-S-51		"Todd Group, Sydney"
30	1	"(2Z,5Z)-5-((2,5-dimethyl-1-(4-(trifluoromethyl)phenyl)-1H-pyrrol-3-yl)methylene)-3-phenyl-2-(phenylimino)thiazolidin-4-one"	OSM-S-52		"Todd Group, Sydney"
31	1	"(2Z,5Z)-3-cyclopentyl-5-((2,5-dimethyl-1-(4-(trifluoromethyl)phenyl)-1H-pyrrol-3-yl)methylene)-2-(phenylimino)thiazolidin-4-one"	OSM-S-54		"Todd Group, Sydney"
32	1	"(2Z,5Z)-5-benzylidene-2-(phenylimino)thiazolidin-4-one"	OSM-S-55		"Todd Group, Sydney"
33	1	"(2Z,5Z)-5-((1-(3-fluorophenyl)-2,5-dimethyl-1H-pyrrol-3-yl)methylene)-3-phenyl-2-(phenylimino)thiazolidin-4-one"	OSM-L-1		"Batra Group, CSIR, Lucknow"
34	1	chloroquine	CQ		
35	1	artemisinin	Art		
36	1	artesunate	Artesut		
37	1	Pyrimethamine	Pyrimethamine		
38	1	Tafenoquine	Tafenoquine		
39	1	Pyronaridine	Pyronaridine		
40	1	Epoxomicin	Epoxomicin		
41	1	Atovaquone	Atovaquone		
