COMPOUND_ID	ASSAY_ID	MEASUREMENT_TYPE	STATUS	VALUE	UPPER_VALUE	UNIT	SD_MINUS	SD_PLUS	ACTIVITY_COMMENT
19	12	IC50	>	33		uM			
19	13	In Vivo				at 50 mg kg-1			negative
20	1	IC50	=	15		nM			
20	2	IC50	=	9		nM	3		
20	3	IC50	=	28		nM	3		
20	7	solubility	=	0	1.6	ug mL-1			
20	8	solubility	=	2	1.6	ug mL-1			
20	9	degradation	<	7		uL min-1 mg-1 			
20	10	half-life	>	245		min			
20	11	composite descriptor							low
21	1	IC50	=	2		nM			
21	2	IC50	=	205		nM	191		
21	3	IC50	=	29		nM	9		
21	7	solubility	=	0	1.6	ug mL-1			
21	8	solubility	=	3	1.6	ug mL-1			
21	9	degradation	<	7		uL min-1 mg-1 			
21	10	half-life	>	250		min			
21	11	composite descriptor							low
21	22	IC50	=	4		nM			
22	1	IC50	=	1		nM			
22	2	IC50	=	5		nM	0.4		
22	3	IC50	=	7		nM	2		
22	7	solubility	=	0	1.6	ug mL-1			
22	8	solubility	=	4	1.6	ug mL-1			
22	9	degradation	<	7		uL min-1 mg-1 			
22	10	half-life	>	250		min			
22	11	composite descriptor							low
22	22	IC50	=	3		nM			
23	1	IC50	=						Could not determine
23	2	IC50	>	1000		nM			
23	3	IC50	>	5000		nM			
24	1	IC50	=	3120		nM			
24	2	IC50	>	1000		nM			
24	3	IC50	>	5000		nM			
25	1	IC50	=	12		nM			
25	2	IC50	=	8		nM	3		
25	3	IC50	=	26		nM	13		
26	1	IC50	=	169		nM			
26	2	IC50	=	339		nM	140		
26	3	IC50	=	267		nM	81		
27	1	IC50	=	63		nM			
27	2	IC50	=	28		nM	15		
27	3	IC50	=	85		nM	27		
28	1	IC50	=	326		nM			
28	2	IC50	=	156		nM	78		
28	3	IC50	=	25		nM	2		
29	1	IC50	=	307		nM			
29	2	IC50	=	442		nM	248		
29	3	IC50	=	309		nM	21		
30	1	IC50	=	54		nM			
30	2	IC50	=	485		nM	22		
30	3	IC50	=	372		nM	19		
31	1	IC50	=	34		nM			
31	2	IC50	=	520		nM	67		
31	3	IC50	=	276		nM	11		
31	7	solubility	=	0	1.6	ug mL-1			
31	8	solubility	=	5	1.6	ug mL-1			
31	9	degradation	=	14		uL min-1 mg-1 			
31	10	half-life	=	121		min			
31	11	composite descriptor							moderate
32	2	IC50	>	1000		nM			
32	3	IC50	>	5000		nM			
32	20	% inhibition	=	100		% at 100 uM			
33	14	IC50	=	3200		nM			
33	15	IC50	>	5000		nM			
34	1	IC50	=	15	18	nM			
34	3	IC50	=	23	52	nM			
34	24	IC50		266		nM			
34	5	% inhibition	=	100		% at 120 uM			
34	14	IC50	=	6.3	8.3	nM			
34	15	IC50	=	235	252	nM			
35	1	IC50	=	41063		nM			
35	24	IC50	=	1		nM			
35	5	% inhibition	=	25		% at 120 uM			
36	3	IC50	=	19	23				
37	1	IC50	=	8.95	11	nM			
37	3	IC50	=	33.2		nM	15		
37	24	IC50	=	11900		nM			
37	21	IC50	=	13921		nM			
38	22	IC50	=	2800		nM			
39	1	IC50	=	3.2	15.2	nM			
39	22	IC50	=	2960		nM			
40	1	IC50	=	4.2		nM			
40	24	IC50	=	2.8		nM			
40	21	IC50	=	33.6		nM			
40	22	IC50	=	0.3		nM			
41	3	IC50	=	1		nM	0.3		
42	1	IC50	=	333		nM			
43	1	IC50	>	40000		nM			
44	1	IC50	>	40000		nM			
45	1	IC50	>	40000		nM			
46	1	IC50	>	40000		nM			
47	1	IC50	>	40000		nM			
48	1	IC50	>	40000		nM			
49	1	IC50	>	40000		nM			
50	1	IC50	>	40000		nM			
51	1	IC50	>	40000		nM			
52	1	IC50	>	40000		nM			
53	1	IC50	=	438		nM			
54	1	IC50	>	40000		nM			
55	1	IC50	>	40000		nM			
56	1	IC50	=	9400		nM			
57	1	IC50	>	40000		nM			
58	1	IC50	>	40000		nM			
59	1	IC50	>	40000		nM			
60	1	IC50	=	17600		nM			
61	1	IC50	>	40000		nM			
62	1	IC50	>	40000		nM			
63	1	IC50	>	40000		nM			
64	1	IC50	>	40000		nM			
65	1	IC50	>	40000		nM			
66	23	% inhibition	=	80		% at 40 uM			
67	1	IC50	>	40000		nM			
68	1	IC50	=	9400		nM			
69	1	IC50	>	40000		nM			
70	23	% inhibition	=	70		% at 40 uM			
71	1	IC50	>	40000		nM			
72	1	IC50	>	40000		nM			
73	23	% inhibition	=	85		% at 40 uM			
74	1	IC50	=	14700		nM			
75	1	IC50	=	24700		nM			
76	1	IC50	>	40000		nM			
77	1	IC50	=	11300		nM			
78	1	IC50	>	40000		nM			
79	1	IC50	>	40000		nM			
80	23	% inhibition	=	96		% at 40 uM			
81	1	IC50	=	4800		nM			
82	1	IC50	>	40000		nM			
83	1	IC50	>	40000		nM			
84	1	IC50	>	40000		nM			
85	1	IC50	>	40000		nM			
86	1	IC50	>	40000		nM			
87	1	IC50	>	40000		nM			
88	1	IC50	>	40000		nM			
89	23	% inhibition	=	61		% at 40 uM			
90	1	IC50	>	40000		nM			
91	1	IC50	>	40000		nM			
92	1	IC50	=	7800		nM			
93	19	% inhibition	=	100		% at 80 uM			
